hw;repl;events;rate;calc2_S_m;calc2_S_std;calc2_R_m;calc2_R_std;calc5_S_m;calc5_S_std;calc5_R_m;calc5_R_std;minibatchassigner4_S_m;minibatchassigner4_S_std;minibatchassigner4_R_m;minibatchassigner4_R_std;nexmarkq26writer_S_m;nexmarkq26writer_S_std;nexmarkq26writer_R_m;nexmarkq26writer_R_std;sourcedatagen1_S_m;sourcedatagen1_S_std;sourcedatagen1_R_m;sourcedatagen1_R_std;watermarkassigner3_S_m;watermarkassigner3_S_std;watermarkassigner3_R_m;watermarkassigner3_R_std
1-32;1;1000000;100000;0.085189;0.000001;0.082641;0.003790;0.040308;0.000000;0.042559;0.002499;0.066036;0.000000;0.063873;0.003206;0.001324;0.000018;0.001523;0.000320;0.955946;0.000006;0.954044;0.001741;0.072039;0.000000;0.070477;0.005216
1-32;1;2000000;200000;0.119065;0.000000;0.120184;0.002442;0.066825;0.000000;0.063075;0.003292;0.084651;0.000000;0.086135;0.003216;0.002086;0.000009;0.001500;0.000343;0.955949;0.000004;0.954691;0.001333;0.098093;0.000000;0.098896;0.002925
1-32;1;3000000;300000;0.149565;0.000000;0.151447;0.005067;0.082127;0.000000;0.080929;0.004807;0.108930;0.000000;0.106862;0.004469;0.002004;0.000016;0.001832;0.000429;0.955954;0.000001;0.954003;0.001498;0.116752;0.000000;0.116041;0.002656
1-32;1;4000000;400000;0.186365;0.000000;0.182664;0.003860;0.100526;0.000000;0.102428;0.002371;0.128090;0.000000;0.130201;0.003311;0.002480;0.000012;0.001594;0.000441;0.955951;0.000002;0.953556;0.001384;0.142682;0.000000;0.139371;0.003673
1-32;1;5000000;500000;0.232490;0.000000;0.220675;0.004008;0.126995;0.000000;0.116032;0.003498;0.162160;0.000000;0.154251;0.003663;0.001728;0.000005;0.001782;0.000434;0.955953;0.000001;0.952167;0.002179;0.172672;0.000000;0.162367;0.005039
1-32;1;6000000;600000;0.261399;0.000000;0.256860;0.006636;0.148199;0.000000;0.137310;0.003812;0.183580;0.000000;0.179746;0.006095;0.001433;0.000009;0.001747;0.000200;0.955954;0.000001;0.953093;0.002620;0.188921;0.000000;0.187861;0.004978
1-32;1;7000000;700000;0.276451;0.000000;0.283107;0.007630;0.160136;0.000000;0.154366;0.003441;0.205290;0.000000;0.196868;0.003709;0.002386;0.000011;0.001784;0.000267;0.955955;0.000001;0.953433;0.000980;0.199003;0.000000;0.202399;0.006276
1-32;1;8000000;800000;0.336885;0.000001;0.336439;0.007590;0.188027;0.000000;0.184490;0.005555;0.235867;0.000001;0.234279;0.006308;0.001910;0.000007;0.001792;0.000315;0.955953;0.000002;0.952437;0.003498;0.241394;0.000000;0.237131;0.004126
1-32;1;9000000;900000;0.387356;0.000000;0.364869;0.010118;0.214118;0.000000;0.195391;0.002793;0.284061;0.000000;0.258080;0.004342;0.001810;0.000007;0.001844;0.000320;0.955955;0.000001;0.953686;0.001816;0.256999;0.000000;0.255776;0.005401
1-32;1;10000000;1000000;0.396313;0.000001;0.403981;0.007694;0.216786;0.000000;0.214394;0.005965;0.288540;0.000000;0.285688;0.006570;0.002951;0.000008;0.002008;0.000361;0.955955;0.000001;0.952128;0.001897;0.271483;0.000000;0.276596;0.008816
1-32;1;100000000;10000000;0.692866;0.000001;0.684501;0.014024;0.352369;0.000000;0.359135;0.006378;0.477910;0.000001;0.489931;0.009215;0.001804;0.000043;0.001440;0.000170;0.999900;0.000001;0.991902;0.000370;0.461931;0.000001;0.460533;0.008830
1-32;2;100000000;10000000;0.695113;0.000003;0.708044;0.024493;0.361311;0.000001;0.378632;0.015582;0.488584;0.000002;0.516331;0.021494;0.002090;0.000047;0.001716;0.000159;0.975187;0.000003;0.975278;0.010014;0.488328;0.000002;0.495713;0.019753
1-32;4;100000000;10000000;0.803676;0.000008;0.792036;0.037189;0.498394;0.000005;0.521739;0.034439;0.599192;0.000006;0.616668;0.033319;0.003408;0.000118;0.002831;0.000277;0.935466;0.000009;0.910269;0.030499;0.625121;0.000006;0.617108;0.034472
1-32;6;100000000;10000000;0.757774;0.000012;0.786193;0.022473;0.486032;0.000007;0.523842;0.020786;0.556094;0.000009;0.590426;0.014279;0.003935;0.000130;0.003099;0.000625;0.913160;0.000014;0.926580;0.017137;0.588126;0.000009;0.598967;0.016384
