hw;repl;events;rate;calc2_S_m;calc2_S_std;calc2_R_m;calc2_R_std;calc5_S_m;calc5_S_std;calc5_R_m;calc5_R_std;minibatchassigner4_S_m;minibatchassigner4_S_std;minibatchassigner4_R_m;minibatchassigner4_R_std;nexmarkq16writer_S_m;nexmarkq16writer_S_std;nexmarkq16writer_R_m;nexmarkq16writer_R_std;sourcedatagen1_S_m;sourcedatagen1_S_std;sourcedatagen1_R_m;sourcedatagen1_R_std;watermarkassigner3_S_m;watermarkassigner3_S_std;watermarkassigner3_R_m;watermarkassigner3_R_std
1-32;1;1000000;100000;0.078527;0.000980;0.076147;0.001601;0.062828;0.000926;0.062555;0.002875;0.044136;0.001827;0.046891;0.001167;0.021262;0.000259;0.019461;0.001191;0.952991;0.001189;0.952263;0.002493;0.052468;0.000913;0.055412;0.001625
1-32;1;2000000;200000;0.109863;0.000001;0.113343;0.003178;0.093612;0.000001;0.096844;0.003597;0.074794;0.000001;0.070122;0.005160;0.032405;0.000004;0.032324;0.001688;0.952463;0.000008;0.949989;0.006938;0.078406;0.000001;0.081868;0.002936
1-32;1;3000000;300000;0.147250;0.000000;0.144804;0.002416;0.124640;0.000000;0.126613;0.004780;0.093005;0.000000;0.091544;0.003681;0.039139;0.000006;0.040426;0.002118;0.952466;0.000002;0.952999;0.001748;0.111435;0.000000;0.101605;0.004497
1-32;1;4000000;400000;0.179602;0.000000;0.183190;0.006256;0.161006;0.000000;0.162039;0.005888;0.114042;0.000000;0.118118;0.004685;0.054359;0.000008;0.052786;0.004609;0.952467;0.000001;0.952503;0.003767;0.124383;0.000000;0.124654;0.004213
1-32;1;5000000;500000;0.230276;0.000000;0.222338;0.006530;0.212124;0.000000;0.196343;0.006620;0.140561;0.000000;0.140250;0.002565;0.072510;0.000003;0.064675;0.003288;0.952467;0.000001;0.953721;0.001680;0.162324;0.000000;0.150378;0.005351
1-32;1;6000000;600000;0.262449;0.000000;0.251826;0.007374;0.227221;0.000000;0.227663;0.005269;0.163888;0.000000;0.158118;0.003385;0.070833;0.000007;0.075418;0.004167;0.952468;0.000001;0.953194;0.001196;0.185917;0.000000;0.170755;0.006675
1-32;1;7000000;700000;0.288250;0.000000;0.280717;0.008718;0.241206;0.000000;0.271224;0.005980;0.174109;0.000000;0.186099;0.002617;0.086677;0.000006;0.083496;0.002025;0.952469;0.000000;0.953615;0.001756;0.190456;0.000000;0.189917;0.007643
1-32;1;8000000;800000;0.347051;0.000000;0.328676;0.009934;0.300619;0.000000;0.296592;0.005504;0.219055;0.000000;0.210516;0.006573;0.089069;0.000009;0.091220;0.002195;0.952468;0.000001;0.953975;0.001388;0.216681;0.000000;0.217041;0.005411
1-32;1;9000000;900000;0.364894;0.000000;0.368801;0.010350;0.344184;0.000000;0.332429;0.013576;0.236644;0.000000;0.233597;0.009234;0.098138;0.000006;0.099232;0.004079;0.952468;0.000001;0.952989;0.002319;0.235314;0.000000;0.235433;0.006943
1-32;1;10000000;1000000;0.409775;0.000000;0.399414;0.014404;0.380322;0.000000;0.367951;0.017969;0.258805;0.000000;0.252650;0.006602;0.112968;0.000008;0.108093;0.005455;0.952468;0.000000;0.953243;0.001461;0.263936;0.000000;0.256397;0.006706
