hw;repl;events;rate;calc10_S_m;calc10_S_std;calc10_R_m;calc10_R_std;calc2_S_m;calc2_S_std;calc2_R_m;calc2_R_std;calc5_S_m;calc5_S_std;calc5_R_m;calc5_R_std;calc7_S_m;calc7_S_std;calc7_R_m;calc7_R_std;join9_S_m;join9_S_std;join9_R_m;join9_R_std;minibatchassigner4_S_m;minibatchassigner4_S_std;minibatchassigner4_R_m;minibatchassigner4_R_std;nexmarkq311writer_S_m;nexmarkq311writer_S_std;nexmarkq311writer_R_m;nexmarkq311writer_R_std;sourcedatagen1_S_m;sourcedatagen1_S_std;sourcedatagen1_R_m;sourcedatagen1_R_std;watermarkassigner3_S_m;watermarkassigner3_S_std;watermarkassigner3_R_m;watermarkassigner3_R_std
ene-32;8;100000000;10000000;0.012930;0.000540;0.011569;0.000755;0.791040;0.002601;0.764506;0.010409;0.478769;0.001574;0.462987;0.009964;0.487074;0.001602;0.468136;0.009125;0.212759;0.002771;0.223526;0.006925;0.657333;0.002162;0.595790;0.007800;0.004414;0.000184;0.004560;0.000416;1.066.670;0.003509;0.916500;0.009596;0.573560;0.001886;0.555609;0.010163
ene-32;10;100000000;10000000;0.013342;0.000404;0.011242;0.000535;0.779873;0.009453;0.757787;0.006611;0.485887;0.005890;0.477750;0.005494;0.493758;0.005985;0.483540;0.006281;0.214023;0.003923;0.214791;0.006914;0.566993;0.006873;0.559970;0.006997;0.004811;0.000146;0.004421;0.000301;0.986993;0.011963;0.877293;0.007943;0.569501;0.006903;0.571944;0.008075
ene-32;12;100000000;10000000;0.010892;0.000268;0.009056;0.000630;0.745881;0.005227;0.738007;0.004570;0.483936;0.003391;0.477095;0.004382;0.488548;0.003423;0.479834;0.004514;0.206260;0.002696;0.223321;0.029284;0.556318;0.003898;0.565753;0.004400;0.004594;0.000113;0.004401;0.000302;0.913769;0.006403;0.836864;0.006556;0.563608;0.003949;0.566276;0.004865
ene-32;14;100000000;10000000;0.009265;0.000442;0.008216;0.000534;0.687232;0.008590;0.707617;0.003211;0.454051;0.005675;0.462427;0.003044;0.462287;0.005778;0.466924;0.003239;0.198773;0.002960;0.226373;0.034379;0.535933;0.006699;0.557839;0.004253;0.004160;0.000199;0.004010;0.000342;0.841331;0.010516;0.801219;0.004785;0.529630;0.006620;0.548147;0.002902
ene-32;16;100000000;10000000;0.008854;0.000298;0.007400;0.000644;0.661258;0.003216;0.686277;0.003300;0.447864;0.002178;0.453974;0.004968;0.454496;0.002211;0.458328;0.005437;0.192576;0.003095;0.194109;0.006308;0.532670;0.002591;0.556814;0.006736;0.003868;0.000130;0.003456;0.000340;0.813170;0.003955;0.778760;0.010114;0.515493;0.002507;0.537653;0.005839
ene-32;24;100000000;10000000;0.009369;0.000377;0.007844;0.000984;0.601370;0.001779;0.606030;0.004893;0.410022;0.001213;0.402177;0.002555;0.416434;0.001232;0.406365;0.003846;0.197044;0.005161;0.210050;0.029628;0.508737;0.001505;0.513318;0.002119;0.003724;0.000150;0.004035;0.001300;0.779263;0.002305;0.720944;0.005130;0.469645;0.001389;0.472997;0.003310
ene-32;32;100000000;10000000;0.010884;0.000488;0.008138;0.001513;0.567823;0.002315;0.544106;0.008247;0.384992;0.001569;0.359350;0.005447;0.388985;0.001586;0.360895;0.006688;0.288693;0.006346;0.239732;0.027498;0.485135;0.001978;0.464554;0.007012;0.005355;0.000240;0.004608;0.001737;0.813083;0.003315;0.706537;0.008230;0.441337;0.001799;0.420756;0.006423
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hw;repl;events;rate;calc10_RMSE;calc10_ACC;calc2_RMSE;calc2_ACC;calc5_RMSE;calc5_ACC;calc7_RMSE;calc7_ACC;join9_RMSE;join9_ACC;minibatchassigner4_RMSE;minibatchassigner4_ACC;nexmarkq311writer_RMSE;nexmarkq311writer_ACC;sourcedatagen1_RMSE;sourcedatagen1_ACC;watermarkassigner3_RMSE;watermarkassigner3_ACC;;;;;;;;;;;;;;;;;;
ene-32;1;1000000;100000;0.000448;0.791868;0.001287;0.991881;0.004856;0.883521;0.002045;0.967987;0.004159;0.828520;0.005143;0.943791;0.000346;0.902282;0.004038;0.996087;0.004541;0.953128;;;;;;;;;;;;;;;;;;
ene-32;1;2000000;200000;0.000339;0.977049;0.003169;0.995216;0.004774;0.947240;0.004500;0.953348;0.003444;0.960458;0.007215;0.944221;0.000545;0.861438;0.004366;0.996028;0.003448;0.984616;;;;;;;;;;;;;;;;;;
ene-32;1;3000000;300000;0.000657;0.649270;0.002630;0.992136;0.006528;0.936350;0.004665;0.975217;0.002628;0.919486;0.003762;0.980078;0.000614;0.867525;0.003872;0.996001;0.009173;0.928907;;;;;;;;;;;;;;;;;;
ene-32;1;4000000;400000;0.000573;0.841551;0.005867;0.981363;0.009790;0.915807;0.012734;0.891610;0.002287;0.945423;0.016007;0.913020;0.000411;0.926362;0.006222;0.993709;0.004555;0.985659;;;;;;;;;;;;;;;;;;
ene-32;1;5000000;500000;0.000429;0.912519;0.026547;0.892850;0.016028;0.878958;0.024740;0.815366;0.004672;0.900255;0.023762;0.891235;0.000448;0.936547;0.006328;0.993886;0.021882;0.880822;;;;;;;;;;;;;;;;;;
ene-32;1;6000000;600000;0.000574;0.880095;0.015265;0.956319;0.011550;0.937139;0.012058;0.953746;0.009769;0.899359;0.014328;0.961478;0.000438;0.988175;0.007931;0.992608;0.005848;0.991581;;;;;;;;;;;;;;;;;;
ene-32;1;7000000;700000;0.000876;0.701362;0.012994;0.963024;0.016600;0.903261;0.016441;0.905560;0.003262;0.957577;0.018597;0.941841;0.000529;0.863061;0.007800;0.992668;0.009271;0.961882;;;;;;;;;;;;;;;;;;
ene-32;1;8000000;800000;0.000415;0.937568;0.023371;0.938762;0.008784;0.965152;0.011935;0.940489;0.008420;0.930006;0.017234;0.949356;0.000630;0.968902;0.009966;0.990045;0.008228;0.981057;;;;;;;;;;;;;;;;;;
ene-32;1;9000000;900000;0.000657;0.947503;0.006556;0.998791;0.014246;0.932885;0.016303;0.925953;0.011162;0.979609;0.018103;0.953769;0.000613;0.934730;0.010462;0.989633;0.007801;0.979780;;;;;;;;;;;;;;;;;;
ene-32;1;10000000;1000000;0.000702;0.878551;0.008906;0.987414;0.007516;0.979886;0.005925;0.986254;0.002934;0.974479;0.009485;0.996881;0.000725;0.758762;0.009809;0.990205;0.009374;0.973698;;;;;;;;;;;;;;;;;;
ene-32;1;100000000;10000000;0.000874;0.713970;0.043936;0.926326;0.025536;0.908884;0.023283;0.916567;0.043218;0.861724;0.037923;0.933898;0.000171;0.942923;0.146259;0.828517;0.042414;0.896710;;;;;;;;;;;;;;;;;;
ene-32;2;100000000;10000000;0.001589;0.596497;0.111980;0.850438;0.059918;0.841615;0.062359;0.845842;0.031462;0.891650;0.107736;0.845933;0.000304;0.898997;0.205136;0.775685;0.084019;0.835550;;;;;;;;;;;;;;;;;;
