parallelism 10000000-1000000 20000000-2000000 30000000-3000000 40000000-4000000 50000000-5000000 60000000-6000000 70000000-7000000 80000000-8000000 90000000-9000000
1 10.5860:944645.8890:0.0881 16.5330:1210541.4847:0.1004 25.3306:1184505.9606:0.0998 33.0320:1211951.0183:0.0995 42.1882:1185607.5603:0.0995 49.8470:1204293.2422:0.0985 57.9514:1208200.8663:0.0986 65.0790:1229643.7526:0.0989 73.3064:1228484.8798:0.0993
2 10.7178:933062.8760:0.1066 10.7374:1862818.3134:0.1529 15.2104:1972873.1218:0.1646 20.8510:1921277.1784:0.1692 25.0896:1995790.1443:0.1754 30.6376:1960123.2061:0.1741 34.8824:2009236.8251:0.1773 38.8636:2061978.9772:0.1792 44.3568:2031052.9670:0.1824
3 10.7672:928755.6792:0.1119 10.7550:1859651.0994:0.1664 13.0716:2295859.3809:0.2200 16.2282:2469467.1310:0.2296 20.2778:2467719.5819:0.2352 23.3702:2570549.7992:0.2391 26.7286:2620477.0433:0.2475 31.1910:2565825.5853:0.2475 34.8874:2581448.9927:0.2437
4 10.8486:921783.8718:0.1208 10.8018:1851592.4456:0.1742 11.0878:2709163.2104:0.2456 14.9786:2676646.9181:0.2641 18.0946:2776325.2586:0.2833 21.4420:2801170.8233:0.2917 23.9472:2932686.9827:0.3033 27.5370:2911391.8908:0.3043 31.3730:2876009.5179:0.3015
5 10.8944:917905.2202:0.1277 10.9448:1827503.0021:0.1942 11.3740:2641479.6210:0.2893 13.7490:2913976.7371:0.3095 16.8590:2970542.0864:0.3279 20.1778:2979098.7042:0.3379 23.0734:3038881.7402:0.3425 26.2164:3053208.8625:0.3507 28.9486:3113024.2715:0.3596
6 10.8914:918179.5060:0.1287 10.9024:1834505.0029:0.2028 10.9590:2737527.4733:0.3004 13.3394:3000631.5437:0.3393 16.6308:3009810.4298:0.3577 20.0512:2994390.1211:0.3698 22.0688:3173740.0075:0.3754 24.9296:3211264.6766:0.3911 28.0084:3216512.4267:0.3960
7 10.9534:912979.0505:0.1354 10.9530:1826019.5193:0.2103 10.9928:2729165.7563:0.3077 12.8390:3117503.7530:0.3623 15.8930:3148255.8220:0.3862 18.5296:3239477.7109:0.3979 21.9108:3196842.7336:0.4131 24.7816:3229107.3670:0.4269 27.7020:3252956.3932:0.4323
8 11.0600:904161.7168:0.1390 11.0120:1816218.6573:0.2024 10.9532:2738930.3445:0.2963 12.9090:3099853.1760:0.3827 15.7520:3176509.4477:0.4079 18.9036:3176022.5821:0.4256 21.3500:3279503.6768:0.4375 23.7576:3368974.9499:0.4500 26.8328:3359507.7321:0.4576
9 11.0150:907867.6538:0.1382 10.9874:1820273.7208:0.2121 11.0290:2720135.8278:0.3147 12.4730:3207255.6804:0.4014 14.8048:3377809.9454:0.4256 17.4204:3445305.0156:0.4426 19.6312:3567459.2887:0.4616 22.2166:3601324.7565:0.4786 25.2960:3560156.6205:0.4845
10 11.0154:907830.5936:0.1249 11.0246:1814140.3930:0.1967 11.0592:2712680.4304:0.3007 12.0908:3308605.9883:0.4101 14.6272:3419200.7343:0.4410 16.8398:3563610.0522:0.4671 20.5466:3411138.8168:0.4794 23.3784:3423882.3932:0.4985 25.4552:3537334.9674:0.5045
12 11.1434:897417.2555:0.1427 11.2430:1778992.4091:0.2470 11.1554:2689320.1552:0.3365 12.8256:3119506.9805:0.4374 15.4816:3231460.9232:0.4627 18.5926:3229795.9739:0.4812 20.9684:3339822.2227:0.5021 23.0258:3475230.4426:0.5168 25.5784:3519549.3694:0.5297
14 11.2194:891390.4856:0.1513 11.2148:1783487.2968:0.2346 11.1524:2690020.7944:0.3417 12.6826:3154467.2636:0.4451 15.2506:3278613.3787:0.4727 18.3718:3266776.2057:0.4942 21.2418:3295685.3203:0.5158 23.7292:3372004.1229:0.5303 26.7398:3366841.3966:0.5412
16 11.4046:876867.9799:0.1632 11.2538:1777204.5994:0.2264 11.2296:2671520.7804:0.3422 12.7648:3135083.2609:0.4527 15.8398:3157030.0571:0.4896 18.3724:3266067.5341:0.5089 21.0148:3331150.9479:0.5288 23.7080:3374631.1270:0.5430 26.9260:3342852.1070:0.5552
24 11.9454:837189.2315:0.1879 12.1206:1650228.6554:0.2973 12.2228:2455043.5596:0.4477 15.1532:2644485.2538:0.4912 17.6886:2828899.5238:0.5175 22.4758:2672393.1754:0.5256 24.4028:2870160.0071:0.5446 27.0350:2959399.9407:0.5697 29.5630:3044907.8227:0.5808
32 14.1538:706804.2250:0.2719 14.1328:1415721.4551:0.3641 14.4344:2079361.4746:0.5060 17.6612:2265748.9674:0.5261 19.6858:2541112.0596:0.5489 23.4810:2556420.0661:0.5665 26.8664:2606687.3085:0.5874 29.3156:2730051.1443:0.5955 32.4024:2778851.3748:0.6077
