parallelism 10000000-1000000 20000000-2000000 30000000-3000000 40000000-4000000 50000000-5000000 60000000-6000000 70000000-7000000 80000000-8000000 90000000-9000000
1 10.5122:951281.4701:0.0804 14.0394:1425088.4602:0.0924 20.5826:1457838.6260:0.0926 27.3036:1470996.2218:0.0920 33.7376:1483149.5328:0.0923 39.9964:1500455.6757:0.0928 46.7652:1497534.7475:0.0929 52.7752:1516580.0337:0.0917 58.8636:1530453.6942:0.0930
2 10.5424:948551.9830:0.0844 10.5366:1898146.4462:0.1178 11.4394:2623010.1844:0.1454 15.2466:2626565.2278:0.1485 18.9988:2634490.0515:0.1507 21.4036:2804007.1170:0.1583 26.0082:2697795.9236:0.1592 30.8744:2596356.0891:0.1607 34.1000:2641169.5289:0.1667
3 10.5952:943824.7219:0.0859 10.6048:1885939.7602:0.1268 10.5964:2831159.5468:0.1655 11.4658:3503730.2823:0.2028 13.6956:3666835.8284:0.2158 16.7198:3598951.1995:0.2241 19.9768:3510032.2634:0.2315 22.3552:3584301.7641:0.2457 26.4006:3414455.1784:0.2364
4 10.6530:938705.1388:0.0948 10.6456:1878718.8348:0.1279 10.6422:2818968.7640:0.1757 10.6402:3759342.3522:0.2265 12.2908:4072303.4852:0.2812 15.1126:3980817.1529:0.2874 17.7916:3944050.1811:0.2989 20.3550:3934484.8580:0.3114 23.6982:3806092.8064:0.3171
5 10.6948:935035.9388:0.0954 10.6858:1871647.5066:0.1335 10.6752:2810262.9687:0.1832 10.6950:3740066.4319:0.2492 11.1792:4472624.0592:0.3407 12.9304:4640627.2803:0.3573 15.7416:4449497.6938:0.3661 19.7656:4057082.5315:0.3641 23.1522:3893477.4912:0.3869
6 10.7380:931274.7300:0.1135 10.7902:1853653.6687:0.1725 10.7686:2785926.4167:0.2600 11.3498:3531542.0920:0.3328 12.9356:3868298.0667:0.3886 15.7408:3832477.8120:0.3982 16.4832:4250642.0268:0.4137 18.8662:4242769.7910:0.4299 21.1488:4264893.6330:0.4488
7 10.7798:927662.1186:0.1035 10.7704:1856941.6410:0.1478 10.7704:2785416.5348:0.2045 10.7880:3707828.6754:0.3043 12.5270:3993104.5607:0.4134 14.4570:4151354.0625:0.4401 16.4834:4246945.7610:0.4641 18.8850:4240391.5454:0.4674 21.8792:4115230.8438:0.4832
8 10.8570:921150.2129:0.1090 10.8194:1848547.3022:0.1522 10.8244:2771524.7908:0.2459 10.8248:3695222.7085:0.3562 12.2232:4090900.4360:0.4435 14.4632:4155380.8724:0.4704 17.0026:4117900.2735:0.4830 18.6484:4293307.2933:0.4999 20.2050:4456637.2222:0.5247
9 10.8116:924935.6293:0.1041 10.8196:1848501.8294:0.1491 10.8354:2768707.7951:0.2382 10.8578:3684012.3063:0.3583 12.1346:4123282.8509:0.4616 14.0908:4258426.2319:0.4899 16.2258:4314589.6072:0.5149 18.3570:4358547.3606:0.5307 20.3968:4413582.4815:0.5538
10 10.8672:920200.5829:0.1086 10.8662:1840573.7905:0.1677 10.8686:2760249.2901:0.2466 10.8986:3670204.5630:0.3921 11.9776:4181689.6145:0.4028 13.5540:4426853.5765:0.5189 15.6526:4473296.2068:0.5464 17.7728:4502462.0928:0.5662 20.2224:4452853.1969:0.5791
12 10.8874:918493.4995:0.1124 10.9084:1833451.1986:0.1563 10.9206:2747111.5732:0.2488 10.9190:3663364.5679:0.3971 12.0784:4140057.9611:0.5089 13.8766:4324283.2631:0.5325 16.1870:4324757.2046:0.5618 18.4410:4343659.2251:0.5723 20.2760:4439737.3818:0.6002
14 10.9566:912692.9440:0.1208 10.9480:1826822.9239:0.1699 10.9522:2739184.1336:0.2498 10.9608:3649372.3422:0.3950 12.1890:4102190.2863:0.5224 14.2644:4206503.9333:0.5515 16.3118:4291623.8221:0.5759 18.3392:4362880.4360:0.6018 20.4346:4404377.7087:0.6208
16 11.0048:908699.0179:0.1200 10.9916:1819572.4442:0.1693 10.9992:2727473.3737:0.2484 11.0172:3630725.6932:0.3990 12.3924:4035221.5263:0.5271 14.6676:4091486.3011:0.5582 16.6574:4202407.6269:0.5845 18.7696:4262450.4563:0.6045 20.9096:4304284.1861:0.6220
24 11.2176:891464.5748:0.1294 11.2866:1772064.9096:0.1856 11.2346:2670358.5702:0.2800 11.2534:3554549.1899:0.4891 13.1324:3807586.2459:0.5496 15.5812:3851402.8756:0.5796 17.7148:3951779.4814:0.6027 19.9540:4009531.4105:0.6200 22.4166:4014961.0939:0.6483
32 11.8724:842306.0920:0.1567 11.8618:1686090.8801:0.2198 11.9048:2520071.2315:0.3211 12.0990:3306595.2266:0.5259 14.4916:3450493.4258:0.5740 16.7298:3586837.7007:0.5991 19.0780:3669250.9578:0.6239 21.3796:3742058.3238:0.6459 23.7704:3786326.3819:0.6591
