parallelism 1000000-100000 2000000-200000 4000000-400000 6000000-600000 8000000-800000 10000000-1000000 12000000-1200000 13000000-1300000 14000000-1400000
1 10.8514:92165.2596:0.0633 11.1630:179204.4261:0.0642 11.7504:340513.3604:0.0791 12.6682:475989.5689:0.0854 13.1158:610485.0992:0.0917 15.0942:674354.4825:0.0944 17.6668:697980.7772:0.0903 20.6608:648663.8771:0.0886 19.1390:736632.1984:0.0929
2 10.9920:90978.4234:0.0682 11.0408:181168.8592:0.0760 11.3964:351040.2060:0.0813 11.6140:516800.3167:0.0966 12.0888:661996.7470:0.1060 12.2660:816854.8681:0.1160 12.6212:950983.2003:0.1245 12.8848:1009788.4593:0.1304 13.7164:1022561.2348:0.1283
3 11.0256:90701.7884:0.0721 11.0778:180555.2381:0.0806 11.2282:356312.6094:0.0909 11.4656:523476.0569:0.0988 11.6432:687218.1003:0.1139 11.8078:847336.0038:0.1227 12.1222:990203.3833:0.1357 12.2864:1058577.9775:0.1436 12.2778:1141014.4078:0.1504
4 11.0916:90164.9141:0.0783 11.1592:179239.4749:0.0818 11.2140:356785.9985:0.0957 11.3754:527532.8092:0.1024 11.4096:701354.2618:0.1211 11.6692:857229.8627:0.1284 11.8552:1012500.2240:0.1453 11.9410:1089135.0279:0.1439 12.0214:1165319.4773:0.1544
5 11.1468:89712.5180:0.0804 11.1660:179119.2255:0.0895 11.2348:356093.6428:0.1000 11.4492:524215.0822:0.1084 11.4146:701004.8108:0.1222 11.5650:864788.5132:0.1302 11.6960:1026277.4670:0.1524 11.8220:1099791.4606:0.1582 11.8048:1186267.5220:0.1603
6 11.2014:89276.2657:0.0809 11.2596:177632.9942:0.0899 11.3698:351866.3998:0.0995 11.3756:527536.8369:0.1155 11.4376:699614.3220:0.1280 11.5502:865983.9369:0.1431 11.6342:1031572.5781:0.1585 11.7926:1102663.0440:0.1562 11.8282:1183828.7140:0.1631
7 11.2904:88572.1988:0.0851 11.3162:176743.6505:0.0915 11.3262:353213.6347:0.1066 11.4264:525262.6756:0.1231 11.4832:696929.8852:0.1329 11.5888:863070.3766:0.1445 11.7384:1022629.8121:0.1595 11.6932:1112143.2022:0.1601 11.8046:1186381.1459:0.1774
8 11.3376:88203.5637:0.0855 11.3974:175487.7425:0.0962 11.4284:350041.2793:0.1143 11.5150:521176.6112:0.1271 11.5346:693674.5143:0.1431 11.6642:857546.9813:0.1518 11.6622:1029599.8981:0.1608 11.7626:1105474.3726:0.1730 11.6368:1203351.9239:0.1782
9 11.4364:87441.1951:0.0915 11.5426:173282.3868:0.1059 11.5586:346117.7415:0.1163 11.5392:520018.1335:0.1207 11.6494:686953.3536:0.1448 11.8008:847546.4348:0.1712 11.9070:1008334.5285:0.1619 11.8492:1097675.5790:0.1946 11.8898:1178001.2433:0.1824
10 11.6992:85479.1132:0.0984 11.7174:170692.5219:0.1094 11.8708:336979.0580:0.1403 11.7476:510757.6334:0.1386 11.9404:670181.4737:0.1398 11.9130:839653.4845:0.1614 12.0508:996043.1584:0.1784 12.1684:1068662.3797:0.1813 12.0162:1165543.2057:0.1887
12 11.9286:83834.9094:0.1051 12.0790:165589.1494:0.1159 12.1450:329406.9492:0.1308 12.1638:493299.2601:0.1451 12.1820:656800.9268:0.1646 12.1902:820440.8628:0.1742 12.3934:968478.4018:0.1859 12.3266:1054962.8535:0.1840 12.3228:1136532.5224:0.1968
14 12.2542:81608.8133:0.1061 12.3338:162168.9634:0.1175 12.3910:322835.4897:0.1350 12.5374:478602.7263:0.1627 12.4540:642385.0291:0.1788 12.7770:782821.9100:0.1866 12.7034:945131.6210:0.2009 13.2180:983849.9112:0.2196 12.8072:1093728.4333:0.2135
16 12.6314:79169.5433:0.1242 12.7432:156961.4247:0.1332 12.7158:314615.3892:0.1531 12.7798:469562.4132:0.1647 12.8190:624149.3106:0.1868 12.7838:782320.3140:0.1946 12.9794:924702.9423:0.2019 12.9974:1000455.5379:0.2155 12.8434:1090258.2456:0.2315
24 14.2680:70087.8980:0.1779 14.1678:141167.8369:0.1908 14.4348:277128.2219:0.1990 14.1528:423980.6439:0.2163 14.4742:552803.4829:0.2357 14.2662:701058.9150:0.2507 14.6368:819925.1613:0.2600 14.6494:888581.0229:0.2643 14.9620:936554.4723:0.2445
32 18.3648:54460.1418:0.3035 18.1494:110200.3875:0.3083 18.1168:220846.9194:0.3163 18.1768:330220.2634:0.3335 18.1624:440511.2847:0.3491 18.0002:555906.3154:0.3588 18.1880:659816.1643:0.3771 18.1796:715177.2056:0.3693 18.7204:748092.1917:0.3989
