hw;repl;events;rate;calc10_S_m;calc10_S_std;calc10_R_m;calc10_R_std;calc2_S_m;calc2_S_std;calc2_R_m;calc2_R_std;calc5_S_m;calc5_S_std;calc5_R_m;calc5_R_std;calc7_S_m;calc7_S_std;calc7_R_m;calc7_R_std;join9_S_m;join9_S_std;join9_R_m;join9_R_std;minibatchassigner4_S_m;minibatchassigner4_S_std;minibatchassigner4_R_m;minibatchassigner4_R_std;nexmarkq311writer_S_m;nexmarkq311writer_S_std;nexmarkq311writer_R_m;nexmarkq311writer_R_std;sourcedatagen1_S_m;sourcedatagen1_S_std;sourcedatagen1_R_m;sourcedatagen1_R_std;watermarkassigner3_S_m;watermarkassigner3_S_std;watermarkassigner3_R_m;watermarkassigner3_R_std
1-32;1;1000000;100000;0.002760;0.000038;0.001999;0.000387;0.086545;0.000001;0.089362;0.002516;0.039674;0.000000;0.039987;0.001798;0.049238;0.000000;0.046813;0.002178;0.009635;0.000035;0.008541;0.000869;0.074804;0.000001;0.079229;0.003097;0.002950;0.000041;0.002839;0.000511;0.950007;0.000009;0.949856;0.001803;0.066755;0.000001;0.067784;0.003375
1-32;1;2000000;200000;0.002178;0.000025;0.001858;0.000163;0.125690;0.000000;0.122032;0.003307;0.067155;0.000000;0.063861;0.001762;0.075111;0.000000;0.070527;0.002129;0.010690;0.000062;0.010169;0.000754;0.116408;0.000001;0.109140;0.002967;0.002084;0.000024;0.002296;0.000535;0.950015;0.000005;0.950393;0.001643;0.094244;0.000000;0.097103;0.004202
1-32;1;3000000;300000;0.001419;0.000017;0.001976;0.000752;0.162895;0.000001;0.159604;0.002597;0.088215;0.000000;0.084548;0.002247;0.092380;0.000000;0.089743;0.004008;0.012964;0.000051;0.012024;0.000603;0.142545;0.000000;0.140610;0.003772;0.001608;0.000019;0.002237;0.000450;0.950017;0.000003;0.950072;0.001800;0.117936;0.000000;0.119304;0.006272
1-32;1;4000000;400000;0.002002;0.000012;0.001955;0.000315;0.227137;0.000000;0.197885;0.005093;0.128765;0.000000;0.109173;0.002856;0.128859;0.000000;0.112430;0.001463;0.015752;0.000056;0.013435;0.000635;0.199775;0.000000;0.174167;0.004424;0.002765;0.000017;0.001931;0.000275;0.950018;0.000000;0.950800;0.001247;0.162187;0.000000;0.148979;0.003067
1-32;1;5000000;500000;0.003986;0.000016;0.002593;0.000520;0.250572;0.000000;0.238073;0.004666;0.136271;0.000000;0.128977;0.002294;0.137029;0.000000;0.133336;0.005329;0.021510;0.000079;0.016316;0.000818;0.215250;0.000000;0.210094;0.006559;0.001803;0.000007;0.002368;0.000552;0.950016;0.000001;0.950213;0.001560;0.175003;0.000000;0.172206;0.004956
1-32;1;6000000;600000;0.003780;0.000021;0.003019;0.000475;0.299746;0.000000;0.279091;0.005773;0.152715;0.000000;0.150945;0.004217;0.153663;0.000000;0.153387;0.005578;0.022535;0.000043;0.019135;0.001041;0.262610;0.000000;0.245638;0.006351;0.002363;0.000013;0.002404;0.000343;0.950017;0.000001;0.950045;0.001441;0.212684;0.000000;0.199818;0.005503
1-32;1;7000000;700000;0.002276;0.000005;0.003040;0.000441;0.340158;0.000000;0.323553;0.008251;0.188735;0.000000;0.170527;0.007249;0.190723;0.000000;0.174051;0.005630;0.022094;0.000038;0.021315;0.001625;0.312885;0.000000;0.290316;0.006915;0.001802;0.000004;0.002425;0.000341;0.950019;0.000000;0.948823;0.001455;0.226330;0.000000;0.225321;0.006793
1-32;1;8000000;800000;0.002086;0.000005;0.003183;0.000683;0.376445;0.000000;0.364253;0.007618;0.188696;0.000000;0.186385;0.002888;0.190686;0.000000;0.190566;0.004853;0.026434;0.000093;0.023735;0.001144;0.331261;0.000000;0.326314;0.010833;0.001896;0.000005;0.002236;0.000526;0.950018;0.000001;0.949340;0.001714;0.259931;0.000000;0.251518;0.004467
1-32;1;9000000;900000;0.003895;0.000015;0.003612;0.001158;0.415254;0.000000;0.395838;0.007141;0.201803;0.000000;0.201575;0.009424;0.209095;0.000000;0.204596;0.007352;0.023895;0.000039;0.025718;0.001945;0.372072;0.000000;0.360950;0.008088;0.002280;0.000009;0.002487;0.000962;0.950018;0.000001;0.950402;0.001149;0.282486;0.000000;0.273104;0.005614
1-32;1;10000000;1000000;0.003306;0.000005;0.003576;0.001043;0.475577;0.000000;0.439770;0.007828;0.235801;0.000000;0.216082;0.005818;0.248580;0.000000;0.223820;0.003836;0.028981;0.000059;0.027429;0.001685;0.433926;0.000000;0.402174;0.005987;0.002267;0.000003;0.002629;0.000579;0.950019;0.000000;0.949845;0.001442;0.320333;0.000000;0.298768;0.004093
