sourcedatagen1:.96183411214953271028;calc2:.83738317757009345794;watermarkassigner3:.61606308411214953271;minibatchassigner4:.54751168224299065420;calc5:.82281542056074766355;nexmarkq16writer:.30920560747663551401;
sourcedatagen1:.88242925985419498331;calc2:.71377527904773672721;watermarkassigner3:.52002759586473907492;minibatchassigner4:.46769842250504551258;calc5:.70390049013550805222;nexmarkq16writer:.25037069072037563326;
sourcedatagen1:.91923059896409756961;calc2:.76972198857851166496;watermarkassigner3:.56564035592545044047;minibatchassigner4:.49625924122360440922;calc5:.76398910974368055248;nexmarkq16writer:.27825490282881048297;
sourcedatagen1:.89398148148148148148;calc2:.76418650793650793650;watermarkassigner3:.56291887125220458553;minibatchassigner4:.49840167548500881834;calc5:.74863315696649029982;nexmarkq16writer:.27578262786596119929;
sourcedatagen1:.95191330067473888529;calc2:.82613919955633607542;watermarkassigner3:.60892873648211479804;minibatchassigner4:.53528514650152509474;calc5:.81235557814955171457;nexmarkq16writer:.30549265181624919123;
sourcedatagen1:.88958836745940904658;calc2:.73820424774259188604;watermarkassigner3:.53637288566704820043;minibatchassigner4:.47889906312264190936;calc5:.71548179236084615710;nexmarkq16writer:.25295688668447157573;
sourcedatagen1:.95097296529520382557;calc2:.82725723213862979972;watermarkassigner3:.60919227309313006012;minibatchassigner4:.53678803086975048529;calc5:.80999952653756924388;nexmarkq16writer:.30430614080772690686;
sourcedatagen1:.89204545454545454545;calc2:.79152183600713012477;watermarkassigner3:.57172459893048128342;minibatchassigner4:.50500222816399286987;calc5:.76198752228163992869;nexmarkq16writer:.28324420677361853832;
sourcedatagen1:.90050425818018825638;calc2:.78023307933662034961;watermarkassigner3:.57068579112505602868;minibatchassigner4:.49735544598834603316;calc5:.76012998655311519497;nexmarkq16writer:.27917974002689376961;
sourcedatagen1:.84804900003913741145;calc2:.66685256937106179797;watermarkassigner3:.49673202614379084967;minibatchassigner4:.43963054283589683378;calc5:.65219560878243512974;nexmarkq16writer:.22849399240734217838;
