sourcedatagen1:.91701036216271673335;calc2:.77894223863752949625;watermarkassigner3:.58993023494408535959;minibatchassigner4:.51227557197086282958;calc5:.52062685954652713655;nexmarkq26writer:.00502205806914948189;
sourcedatagen1:.92700669330150988429;calc2:.79111710683339386706;watermarkassigner3:.60159809059305764541;minibatchassigner4:.52336429201473564053;calc5:.53093446790847299330;nexmarkq26writer:.00495511855964302391;
sourcedatagen1:.92245756346702718942;calc2:.77253517600520755094;watermarkassigner3:.57999599419157778779;minibatchassigner4:.50851234289720094136;calc5:.50603875619648490310;nexmarkq26writer:.00454158529868309048;
sourcedatagen1:.92142677592881202553;calc2:.76418983459856216379;watermarkassigner3:.56800060328791915941;minibatchassigner4:.49902468453069227288;calc5:.49696345080689759187;nexmarkq26writer:.00488160474586496405;
sourcedatagen1:.93133394852865784886;calc2:.78245155336819440172;watermarkassigner3:.58328719368399466830;minibatchassigner4:.51246283194914385317;calc5:.51348303086229877986;nexmarkq26writer:.00498308212857582282;
sourcedatagen1:.91395124428643981716;calc2:.77147282884713052310;watermarkassigner3:.57840528186896901980;minibatchassigner4:.50313357034027425088;calc5:.50914169629253428136;nexmarkq26writer:.00446927374301675977;
sourcedatagen1:.90394068861522995727;calc2:.75572756974114099019;watermarkassigner3:.56284493591354611711;minibatchassigner4:.49665745162101030409;calc5:.49959788891681326966;nexmarkq26writer:.00454385524001005277;
sourcedatagen1:.90839508679321896254;calc2:.77271850573545832910;watermarkassigner3:.59225459344229012283;minibatchassigner4:.51586640950157344432;calc5:.52015531418130139072;nexmarkq26writer:.00658308801136940412;
sourcedatagen1:.90843682643949502206;calc2:.77591604228676998870;watermarkassigner3:.59088063224879400595;minibatchassigner4:.51231653494816791542;calc5:.52231858770399261007;nexmarkq26writer:.00457251359950733860;
sourcedatagen1:.90881531298499741334;calc2:.77937920331091567511;watermarkassigner3:.59394205897568546301;minibatchassigner4:.51576823590274185204;calc5:.52766166580444904293;nexmarkq26writer:.00498706673564407656;
sourcedatagen1:.92873172028715767083;calc2:.79817601701675086413;watermarkassigner3:.61032704068067003456;minibatchassigner4:.52863600106354692900;calc5:.54057431534166445094;nexmarkq26writer:.00549321988832757245;
sourcedatagen1:.91272754931291516657;calc2:.76424116424116424116;watermarkassigner3:.57424065716748643577;minibatchassigner4:.49978702905532173824;calc5:.50424420668323107347;nexmarkq26writer:.00504538309416358196;
sourcedatagen1:.91213779128672745694;calc2:.76691995947315096251;watermarkassigner3:.57717325227963525835;minibatchassigner4:.50815096251266464032;calc5:.51242147922998986828;nexmarkq26writer:.00520770010131712259;
sourcedatagen1:.92883400344629523262;calc2:.78743146571980575426;watermarkassigner3:.59329538927471150331;minibatchassigner4:.52065166309853271369;calc5:.52852070387969296642;nexmarkq26writer:.00528954101613492768;
