sourcedatagen1:.94567292395800190900;calc2:.82185279456994379043;watermarkassigner3:.62009050093682610386;minibatchassigner4:.61023615088203061476;calc5:.55283345706508290027;nexmarkq26writer:.00294304804327076041;
sourcedatagen1:.94340156255523738819;calc2:.81414607416834588326;watermarkassigner3:.62094778520168275179;minibatchassigner4:.60918443101071163431;calc5:.55644819174885990030;nexmarkq26writer:.00332308127408350125;
sourcedatagen1:.94577754441235669904;calc2:.79996499518683819025;watermarkassigner3:.60815612146670167147;minibatchassigner4:.59843353461100901373;calc5:.53319331408068609433;nexmarkq26writer:.00274787783320206528;
sourcedatagen1:.89890806327547573659;calc2:.75979900337781345105;watermarkassigner3:.58110932744724256713;minibatchassigner4:.57701247449918062941;calc5:.50916357312464466071;nexmarkq26writer:.00248319454198856225;
sourcedatagen1:.95085697085590849534;calc2:.81252877226530684514;watermarkassigner3:.61840893799355501257;minibatchassigner4:.60889195793052161903;calc5:.55049753886469067601;nexmarkq26writer:.00289493254010411133;
sourcedatagen1:.94983298171589310829;calc2:.81593706047819971870;watermarkassigner3:.62370780590717299578;minibatchassigner4:.61058368495077355836;calc5:.55247011251758087201;nexmarkq26writer:.00498417721518987341;
sourcedatagen1:.91078525884959493970;calc2:.77310704077663334855;watermarkassigner3:.59081299575490046848;minibatchassigner4:.58190843438699748000;calc5:.52021918920290222740;nexmarkq26writer:.00293436162835929440;
sourcedatagen1:.90420726379478048700;calc2:.75105923471322353561;watermarkassigner3:.57328915046903077962;minibatchassigner4:.56963746970671150897;calc5:.49506240005275565886;nexmarkq26writer:.00286858895098669568;
sourcedatagen1:.92598312236286919831;calc2:.78386497890295358649;watermarkassigner3:.59108016877637130801;minibatchassigner4:.58345991561181434599;calc5:.51327426160337552742;nexmarkq26writer:.00286919831223628691;
sourcedatagen1:.92536309615024433433;calc2:.79521036590556946076;watermarkassigner3:.60615347942313258755;minibatchassigner4:.59958114113500536343;calc5:.53378113772964873746;nexmarkq26writer:.00286049956581703018;
sourcedatagen1:.93136705550744570662;calc2:.78657056016844107109;watermarkassigner3:.60032601497631297437;minibatchassigner4:.59171718200804849472;calc5:.52213336050124802608;nexmarkq26writer:.00337051941656903197;
sourcedatagen1:.91091525984773253889;calc2:.76169314796425024826;watermarkassigner3:.58104932141674942072;minibatchassigner4:.57725918570009930486;calc5:.50255710029791459781;nexmarkq26writer:.00270605759682224428;
sourcedatagen1:.93003346956624114906;calc2:.78787190742889819533;watermarkassigner3:.59860066939132482298;minibatchassigner4:.58365709672536454916;calc5:.51575087878634979901;nexmarkq26writer:.00406175891820979867;
sourcedatagen1:.91916752903299988501;calc2:.76873798846893017296;watermarkassigner3:.59467961037467763925;minibatchassigner4:.58534962795052481151;calc5:.50490316858029862514;nexmarkq26writer:.00286634143136385288;
sourcedatagen1:.90642252335389447439;calc2:.76055175093496527271;watermarkassigner3:.57610050674308287596;minibatchassigner4:.56947884792850551265;calc5:.49534541097997312480;nexmarkq26writer:.00256609516408438162;
