sourcedatagen1:.83294439935064935064;calc2:.73441848330241187384;watermarkassigner3:.56931238404452690166;minibatchassigner4:.50289888682745825602;calc5:.50645002319109461966;nexmarkq26writer:.00669642857142857142;
sourcedatagen1:.83098270001521992795;calc2:.74462772780970741500;watermarkassigner3:.58181436036440856084;minibatchassigner4:.51977503496959638200;calc5:.52323213289171383636;nexmarkq26writer:.00703015720011306232;
sourcedatagen1:.82753783124882791650;calc2:.74414318893264667272;watermarkassigner3:.58594798113125892586;minibatchassigner4:.52348494684150546010;calc5:.52973485668123656611;nexmarkq26writer:.00644465602054211566;
sourcedatagen1:.83828742151103909256;calc2:.74688576058335021267;watermarkassigner3:.57861193900286466622;minibatchassigner4:.51587864232182644173;calc5:.52183584594461645302;nexmarkq26writer:.00609103272664139587;
sourcedatagen1:.82839273910611684547;calc2:.74031190754636119968;watermarkassigner3:.57893934001118625108;minibatchassigner4:.51827571929773587372;calc5:.52337853837828414530;nexmarkq26writer:.00674080584590575946;
sourcedatagen1:.83756570314275451033;calc2:.74736637611887778665;watermarkassigner3:.58414400809330762632;minibatchassigner4:.52118628536240277401;calc5:.52870045231619614541;nexmarkq26writer:.00671509944358510068;
sourcedatagen1:.82905775998496925200;calc2:.74142055021209252581;watermarkassigner3:.58245593750677467607;minibatchassigner4:.52086238916629932867;calc5:.52313145400807902704;nexmarkq26writer:.00783333212894647463;
sourcedatagen1:.83482075000542852800;calc2:.74623441107709233564;watermarkassigner3:.58264391027728921025;minibatchassigner4:.52263334274278186726;calc5:.52548151043363081666;nexmarkq26writer:.00644909126441274184;
sourcedatagen1:.84294159256265157639;calc2:.74929625245409400623;watermarkassigner3:.58141817761866266312;minibatchassigner4:.52205075643838780459;calc5:.52750389767871578704;nexmarkq26writer:.00823565076798706548;
sourcedatagen1:.83940475584666719977;calc2:.75098686362744171507;watermarkassigner3:.58473941711435986536;minibatchassigner4:.52256519115712032103;calc5:.52633090282573769419;nexmarkq26writer:.00649548914268266972;
sourcedatagen1:.83576650331928691930;calc2:.75666596069438459909;watermarkassigner3:.59443718185602547342;minibatchassigner4:.53262322259306053590;calc5:.53615795277775749121;nexmarkq26writer:.00628802208476049281;
sourcedatagen1:.83913482933639708555;calc2:.74597155364232631869;watermarkassigner3:.57868922790535332528;minibatchassigner4:.51732450080714358429;calc5:.52185104928665958901;nexmarkq26writer:.00749334651910239816;
sourcedatagen1:.83273228832919067254;calc2:.74525868881194235714;watermarkassigner3:.58321001135041163201;minibatchassigner4:.52152267927184954239;calc5:.52627835806956796597;nexmarkq26writer:.00641154581112340339;
