sourcedatagen1:.74519315159125585665;calc2:.61370019308407934000;watermarkassigner3:.43885277001390745466;minibatchassigner4:.40939394553138628967;calc5:.59708213499682693995;nexmarkq16writer:.29260508229702542498;
sourcedatagen1:.72942833806915674889;calc2:.62079095114552018558;watermarkassigner3:.44923403203887493308;minibatchassigner4:.41804280086205713187;calc5:.60461880053260854644;nexmarkq16writer:.29505380993562025559;
sourcedatagen1:.73320611206356981522;calc2:.61748578115220290091;watermarkassigner3:.44520300976950499360;minibatchassigner4:.41449812229569760796;calc5:.60546609247013361634;nexmarkq16writer:.29517545649985032791;
sourcedatagen1:.73233948087431693989;calc2:.61893954918032786885;watermarkassigner3:.44830601092896174863;minibatchassigner4:.41719774590163934426;calc5:.60382342896174863387;nexmarkq16writer:.29803790983606557377;
sourcedatagen1:.73856192529904792904;calc2:.62082282257845769929;watermarkassigner3:.44406244066509344400;minibatchassigner4:.41363719586622182439;calc5:.60043365340277212683;nexmarkq16writer:.29419433368595220658;
sourcedatagen1:.71992389402140735012;calc2:.61369941529987926145;watermarkassigner3:.44735833570740574932;minibatchassigner4:.41689220354618588308;calc5:.60621599989147097526;nexmarkq16writer:.29932305020824006620;
sourcedatagen1:.72623998613721491315;calc2:.61375814771863878114;watermarkassigner3:.44255775049652763892;minibatchassigner4:.41185301448927633595;calc5:.60263959424694418896;nexmarkq16writer:.29439923488090001466;
sourcedatagen1:.74067166693622297697;calc2:.61612991266375545851;watermarkassigner3:.44717201735942638417;minibatchassigner4:.41538795891961830826;calc5:.60821169604830449080;nexmarkq16writer:.29697355652595827268;
sourcedatagen1:.73098334268387165718;calc2:.61972028532499799631;watermarkassigner3:.45007146482861799043;minibatchassigner4:.42131355026582244663;calc5:.60725902326948251449;nexmarkq16writer:.29961796371991130346;
sourcedatagen1:.73388921684376229830;calc2:.61645677554768463859;watermarkassigner3:.44848976780794962613;minibatchassigner4:.41517611176702085792;calc5:.60194149285058375967;nexmarkq16writer:.29824216187852551488;
