sourcedatagen1:.96506917611865885578;calc2:.79548381735842785325;watermarkassigner3:.58478748597781378536;minibatchassigner4:.52535419003697702438;calc5:.78888819643524866010;nexmarkq16writer:.27856371265943745066;
sourcedatagen1:.88737144752847506358;calc2:.69288399867300674554;watermarkassigner3:.50081094032216447344;minibatchassigner4:.45404364333370194257;calc5:.67755906963028493494;nexmarkq16writer:.23239890891665745143;
sourcedatagen1:.92133108418954148136;calc2:.73387900628737923631;watermarkassigner3:.54905305934672596227;minibatchassigner4:.48662973470326637018;calc5:.70724390430915503757;nexmarkq16writer:.25430340438583039411;
sourcedatagen1:.95066750928193380203;calc2:.78475787976933407062;watermarkassigner3:.57450233035784817126;minibatchassigner4:.51360691997788134923;calc5:.76869223477367880559;nexmarkq16writer:.27567343392053084761;
sourcedatagen1:.90165945690501290486;calc2:.71543858373623177869;watermarkassigner3:.51857573884910392962;minibatchassigner4:.47053691519139190810;calc5:.69532698389617943218;nexmarkq16writer:.24297502635501108728;
sourcedatagen1:.90509310986964618249;calc2:.73071694599627560521;watermarkassigner3:.52717877094972067039;minibatchassigner4:.47789571694599627560;calc5:.70165735567970204841;nexmarkq16writer:.25256052141527001862;
sourcedatagen1:.94222593693247482251;calc2:.77309311540366518078;watermarkassigner3:.55978619778768367178;minibatchassigner4:.50229073798910351659;calc5:.75296144956248968136;nexmarkq16writer:.26480724781244840680;
sourcedatagen1:.96855981701588857574;calc2:.78327819303189968549;watermarkassigner3:.56950741330719274598;minibatchassigner4:.51003757709431033778;calc5:.75638197933259812931;nexmarkq16writer:.26988114201690969243;
sourcedatagen1:.89160195340645264590;calc2:.73489912737170762949;watermarkassigner3:.53405451925386278120;minibatchassigner4:.48128652629893523336;calc5:.71454447201985429509;nexmarkq16writer:.26091786085981906973;
sourcedatagen1:.87343264927629722211;calc2:.72837963149618997701;watermarkassigner3:.53927952263839051727;minibatchassigner4:.48904366407289440793;calc5:.71105309841551425230;nexmarkq16writer:.26891908236906825787;
