sourcedatagen1:.71686176142697881828;calc2:.57502670940170940170;watermarkassigner3:.41342553883314752879;minibatchassigner4:.38145322370865849126;calc5:.57215138424377554812;nexmarkq16writer:.26497468413229282794;
sourcedatagen1:.74848003587808847462;calc2:.57527001035656162154;watermarkassigner3:.40522012316910785619;minibatchassigner4:.36356154756620801893;calc5:.57093666777629826897;nexmarkq16writer:.25380857930167184494;
sourcedatagen1:.73589794229394725952;calc2:.57292254448331640522;watermarkassigner3:.40552702855208215777;minibatchassigner4:.37349057668434713914;calc5:.57611419892412444043;nexmarkq16writer:.25981712936839333408;
sourcedatagen1:.73382576322361799679;calc2:.57793337868565251425;watermarkassigner3:.41200446378648376635;minibatchassigner4:.38090589704402281283;calc5:.57489655943638871286;nexmarkq16writer:.26214960673947888321;
sourcedatagen1:.74148836605287669269;calc2:.57179752991330515153;watermarkassigner3:.40260375617969477681;minibatchassigner4:.36617154474457261589;calc5:.55950978899476964963;nexmarkq16writer:.25403247474385612954;
sourcedatagen1:.73218656826296609857;calc2:.58069187801376670224;watermarkassigner3:.41348073950012883277;minibatchassigner4:.37666677402731254831;calc5:.58279116207163102293;nexmarkq16writer:.26366432620458644679;
sourcedatagen1:.72888663220088626292;calc2:.57363367799113737075;watermarkassigner3:.40736936853766617429;minibatchassigner4:.37388986336779911373;calc5:.58211202917282127031;nexmarkq16writer:.25930460672082717872;
sourcedatagen1:.72327376377145785293;calc2:.57383514512645950001;watermarkassigner3:.40965397496431316569;minibatchassigner4:.37618269829069214157;calc5:.56866627319644229713;nexmarkq16writer:.26314579444383441308;
sourcedatagen1:.73556466845155138267;calc2:.56783058571114208171;watermarkassigner3:.39931370571407613878;minibatchassigner4:.36432392906917039536;calc5:.55912583437247854470;nexmarkq16writer:.25348648499963324286;
sourcedatagen1:.72657293831650831353;calc2:.57026494766923990498;watermarkassigner3:.40660722238717339667;minibatchassigner4:.37047209026128266033;calc5:.56812625259798099762;nexmarkq16writer:.25922631198040380047;
