sourcedatagen1:.91677177452644131541;calc2:.76425835894143007842;watermarkassigner3:.52370660000917304958;minibatchassigner4:.46228729991285602898;calc5:.71853070678347016465;nexmarkq16writer:.33204719534009081319;
sourcedatagen1:.90768689573782397530;calc2:.75938450365394217239;watermarkassigner3:.52191230538786255730;minibatchassigner4:.45852435204938495755;calc5:.71112863692070264627;nexmarkq16writer:.33399527937905678362;
sourcedatagen1:.92939585730724971231;calc2:.77055811277330264672;watermarkassigner3:.52459148446490218642;minibatchassigner4:.46039125431530494821;calc5:.71242232451093210586;nexmarkq16writer:.32735327963176064441;
sourcedatagen1:.93255126827673191012;calc2:.77596113420843649273;watermarkassigner3:.53323095249217545662;minibatchassigner4:.46689167094875508011;calc5:.72952188536460036436;nexmarkq16writer:.34033260148549539870;
sourcedatagen1:.92390051631938041674;calc2:.76486723215932140881;watermarkassigner3:.52182256131292642448;minibatchassigner4:.46074589710492347409;calc5:.71364443112668264798;nexmarkq16writer:.33455882352941176470;
sourcedatagen1:.90158847515347044853;calc2:.74811802661648070977;watermarkassigner3:.50337186897880539499;minibatchassigner4:.44176524622485101044;calc5:.69447058296365999014;nexmarkq16writer:.31856880405072366357;
sourcedatagen1:.91187206278231509786;calc2:.75858922297759729890;watermarkassigner3:.52445019847606880503;minibatchassigner4:.45929529588903590819;calc5:.70386001733813934388;nexmarkq16writer:.33168316831683168316;
sourcedatagen1:.92079145728643216080;calc2:.76588053905893101873;watermarkassigner3:.52263019643672910004;minibatchassigner4:.45920511649154865235;calc5:.71085541343079031521;nexmarkq16writer:.33161260849703060758;
sourcedatagen1:.91761870964787765007;calc2:.75879733504281331562;watermarkassigner3:.51353083932414487842;minibatchassigner4:.44767388616694903612;calc5:.70424469984889418013;nexmarkq16writer:.32354388937222400293;
sourcedatagen1:.94173910966755827283;calc2:.79532264998089415361;watermarkassigner3:.54631973633931983186;minibatchassigner4:.48021350783339701948;calc5:.74412495223538402751;nexmarkq16writer:.36088555598012991975;
