sourcedatagen1:.91248906769284589819;calc2:.77091569004722756690;watermarkassigner3:.52376683575301731677;minibatchassigner4:.46661710687423473849;calc5:.66422949099177890502;nexmarkq16writer:.37170718908518453734;
sourcedatagen1:.91999010613419679798;calc2:.78419679798524914552;watermarkassigner3:.53340978593272171253;minibatchassigner4:.47857078611261018168;calc5:.67158661629789530491;nexmarkq16writer:.38925166396833962942;
sourcedatagen1:.90031212907196553391;calc2:.76389853607069064052;watermarkassigner3:.51538224820855497428;minibatchassigner4:.45928254275289049105;calc5:.65795489515100892425;nexmarkq16writer:.37005759001186969710;
sourcedatagen1:.90058190029529268716;calc2:.75702188639916623241;watermarkassigner3:.50620983150946673614;minibatchassigner4:.44585287476116032655;calc5:.64627844363383706791;nexmarkq16writer:.36017457008858780614;
sourcedatagen1:.91602199900004545247;calc2:.78295986546066087905;watermarkassigner3:.53348938684605245216;minibatchassigner4:.48635062042634425707;calc5:.68570974046634243898;nexmarkq16writer:.38777782828053270305;
sourcedatagen1:.91178103385511467054;calc2:.77724335638878776847;watermarkassigner3:.53146159446669093556;minibatchassigner4:.47493629413906079359;calc5:.67428103385511467054;nexmarkq16writer:.38056971241354204586;
sourcedatagen1:.90329335958475031322;calc2:.76949167710757114730;watermarkassigner3:.52461965276534812958;minibatchassigner4:.47542061929479148022;calc5:.67346518704134598174;nexmarkq16writer:.38181045283694290316;
sourcedatagen1:.90891705278459162351;calc2:.78302898155719087853;watermarkassigner3:.54260924865994367220;minibatchassigner4:.49021531752521122921;calc5:.68052602889070591441;nexmarkq16writer:.39348142091396384119;
sourcedatagen1:.92426851046293328449;calc2:.79132286276844177846;watermarkassigner3:.53770777050231237694;minibatchassigner4:.48297541096204038646;calc5:.68009066349191812811;nexmarkq16writer:.38449562708915243371;
sourcedatagen1:.91868116802997760818;calc2:.78580633368368139651;watermarkassigner3:.54211031394232966229;minibatchassigner4:.48766165516611067952;calc5:.68546817164008591143;nexmarkq16writer:.39367088607594936708;
