sourcedatagen1:.99281636467169910496;calc2:.63274394428302355122;watermarkassigner3:.38739067587495802245;minibatchassigner4:.40678065090744499116;calc5:.61208369227175166815;nexmarkq16writer:.15764575333265195870;
sourcedatagen1:.99220180686118910999;calc2:.66742461237944084971;watermarkassigner3:.40568917104138688804;minibatchassigner4:.42713038701013307288;calc5:.63075326577951410084;nexmarkq16writer:.16296850201440605542;
sourcedatagen1:.99287000570985169026;calc2:.68354245055122029779;watermarkassigner3:.39440434534354274336;minibatchassigner4:.40933780361038314568;calc5:.62519947879302519655;nexmarkq16writer:.16005153507166595903;
sourcedatagen1:.99259963436928702010;calc2:.62552102376599634369;watermarkassigner3:.38547714808043875685;minibatchassigner4:.40925776965265082266;calc5:.61243144424131627056;nexmarkq16writer:.15457404021937842778;
sourcedatagen1:.99243519688275316214;calc2:.66010137140595747271;watermarkassigner3:.40680984489870469870;minibatchassigner4:.42839312622718762842;calc5:.64551971871717986575;nexmarkq16writer:.17784136744851519810;
sourcedatagen1:.99308194901140197292;calc2:.62302315981267170574;watermarkassigner3:.37955331596703249775;minibatchassigner4:.40072027444449189335;calc5:.66135713370628176111;nexmarkq16writer:.15736430798138104795;
sourcedatagen1:.99245668307401594001;calc2:.67390012343609515246;watermarkassigner3:.40881729934015025677;minibatchassigner4:.43632373782782950579;calc5:.65090443607991344234;nexmarkq16writer:.16519102116700446503;
sourcedatagen1:.99302351749746821199;calc2:.66180938449420501856;watermarkassigner3:.38030268932148081467;minibatchassigner4:.40307471587712388882;calc5:.60999212332620681894;nexmarkq16writer:.15691459435129965117;
sourcedatagen1:.99318265478907457851;calc2:.65470072885224177280;watermarkassigner3:.39693734815578296399;minibatchassigner4:.42542884487962894794;calc5:.63204005006257822277;nexmarkq16writer:.16754766988146948391;
sourcedatagen1:.99272603284650792748;calc2:.63979655623117576859;watermarkassigner3:.38686992100926294254;minibatchassigner4:.40683070978007614934;calc5:.61341421833267034153;nexmarkq16writer:.16033983065295220776;
