sourcedatagen1:.86867097955807633226;calc2:.75878456221198156682;watermarkassigner3:.53798889282760250502;minibatchassigner4:.50651734018669502540;calc5:.68131129623065106936;nexmarkq16writer:.40078503485761550277;
sourcedatagen1:.87888749739094134836;calc2:.75554611324805438769;watermarkassigner3:.52710439216387870113;minibatchassigner4:.48797223961594656647;calc5:.66178027253481229686;nexmarkq16writer:.38879446581387721024;
sourcedatagen1:.86129751379127937731;calc2:.75769288898964709438;watermarkassigner3:.54398473513186730144;minibatchassigner4:.51009975062344139650;calc5:.67595405425829365978;nexmarkq16writer:.40495352527771480389;
sourcedatagen1:.86642777803137505515;calc2:.76015657095905418359;watermarkassigner3:.54133001628094520777;minibatchassigner4:.50685473440757140031;calc5:.67522557477822918093;nexmarkq16writer:.39780663714794357967;
sourcedatagen1:.86279747083767184269;calc2:.75420269515746902681;watermarkassigner3:.53719800202212262513;minibatchassigner4:.50287850664735086845;calc5:.66868878929180436718;nexmarkq16writer:.39437427377125869588;
sourcedatagen1:.85704421886748799814;calc2:.74154447914859159002;watermarkassigner3:.51941986234021632251;minibatchassigner4:.48302027300595754525;calc5:.65068829891838741396;nexmarkq16writer:.38409537856440511307;
sourcedatagen1:.85975818071090117790;calc2:.74822126167877248488;watermarkassigner3:.52863805831588015982;minibatchassigner4:.49536933885893379677;calc5:.66198401734919715401;nexmarkq16writer:.39719709460362728933;
sourcedatagen1:.86016912402428447528;calc2:.75100101185313674472;watermarkassigner3:.52749710899103787221;minibatchassigner4:.48949118242266551026;calc5:.65746964440589765828;nexmarkq16writer:.39064758600751662330;
sourcedatagen1:.86989882453578750202;calc2:.74769921684881199946;watermarkassigner3:.51575151541967169594;minibatchassigner4:.48260032741914074598;calc5:.64898308334439479079;nexmarkq16writer:.38110408094037136999;
sourcedatagen1:.87850546315495360362;calc2:.76134542139086189908;watermarkassigner3:.53306569021043808179;minibatchassigner4:.49493389803091131012;calc5:.67013720386464904927;nexmarkq16writer:.39513021867325480507;
