sourcedatagen1:.95325843722884413389;calc2:.77503767639402657898;watermarkassigner3:.53926717510770120716;minibatchassigner4:.48622337915391758383;calc5:.75282763240017658431;nexmarkq16writer:.25819366427668934861;
sourcedatagen1:.95377419058974594148;calc2:.78268213641505396068;watermarkassigner3:.54186921030908924149;minibatchassigner4:.48155706380506894126;calc5:.75423430860007948882;nexmarkq16writer:.25489162004341312788;
sourcedatagen1:.92883979223734039846;calc2:.74861915667519870672;watermarkassigner3:.52555121469307108536;minibatchassigner4:.46779529091262891613;calc5:.73403236187824629155;nexmarkq16writer:.24975676201595641175;
sourcedatagen1:.95536684782608695652;calc2:.76924064009661835748;watermarkassigner3:.54041364734299516908;minibatchassigner4:.48530344202898550724;calc5:.74889794685990338164;nexmarkq16writer:.25626509661835748792;
sourcedatagen1:.94945199872663604529;calc2:.77449330725969045128;watermarkassigner3:.54568951142237785559;minibatchassigner4:.48556854184668091621;calc5:.75154243788560947140;nexmarkq16writer:.26044840602119241438;
sourcedatagen1:.95501277708444761395;calc2:.76057823735662922683;watermarkassigner3:.53816039698104237237;minibatchassigner4:.48553663754679978605;calc5:.74250460569323111665;nexmarkq16writer:.26015481072086527604;
sourcedatagen1:.89803700925231307826;calc2:.70702397821677641632;watermarkassigner3:.48896251840737962268;minibatchassigner4:.44529882470617654413;calc5:.67740546247673029368;nexmarkq16writer:.22862660109471812397;
sourcedatagen1:.90692135705259064839;calc2:.71846574733713841325;watermarkassigner3:.50575622491632990320;minibatchassigner4:.46417114527350747823;calc5:.69251760196642086405;nexmarkq16writer:.24541376772347900956;
sourcedatagen1:.89335212111310787997;calc2:.68426319228884169253;watermarkassigner3:.48112372705984860861;minibatchassigner4:.43555655393998801938;calc5:.66259598104884822741;nexmarkq16writer:.22634509611719217992;
sourcedatagen1:.95604508346890618358;calc2:.75824063081680810212;watermarkassigner3:.53635550865467762974;minibatchassigner4:.48935203505840624954;calc5:.73500271145700508581;nexmarkq16writer:.25314016034237640885;
