sourcedatagen1:.73830650010522834550;calc2:.66212305703376326628;watermarkassigner3:.52340954872072397101;minibatchassigner4:.48118479600733591894;calc5:.47684036859986169988;nexmarkq26writer:.00638510567932413336;
sourcedatagen1:.74402550906243007384;calc2:.66122174983217722085;watermarkassigner3:.51943014842992466621;minibatchassigner4:.46968374729618855821;calc5:.46970052957410308048;nexmarkq26writer:.00663459386887446856;
sourcedatagen1:.74636706743807629723;calc2:.65658334839992768034;watermarkassigner3:.51633972156933646718;minibatchassigner4:.47095348942325076839;calc5:.47017755981437955764;nexmarkq26writer:.00636186946302657747;
sourcedatagen1:.73801566441594537846;calc2:.65819813900092143623;watermarkassigner3:.51900839866467273908;minibatchassigner4:.47298379178562257367;calc5:.47219830516155345085;nexmarkq26writer:.01112143321097868612;
sourcedatagen1:.73712287605625209725;calc2:.66485349745279277630;watermarkassigner3:.51706018730362099996;minibatchassigner4:.47567760287971690918;calc5:.47114563314114883621;nexmarkq26writer:.00840616515664561788;
sourcedatagen1:.74122956274483113268;calc2:.65928013975225736194;watermarkassigner3:.51735181572061648290;minibatchassigner4:.47840192386224420345;calc5:.47277931545593417729;nexmarkq26writer:.00984996294447721463;
sourcedatagen1:.75242283113281485500;calc2:.66651783022849219268;watermarkassigner3:.52110086212093808404;minibatchassigner4:.47521213902453728823;calc5:.47410245975764152649;nexmarkq26writer:.00835933260987520347;
sourcedatagen1:.74590167046317388003;calc2:.65935269552012148823;watermarkassigner3:.51830296127562642369;minibatchassigner4:.47552771450265755504;calc5:.47679005315110098709;nexmarkq26writer:.00700645406226271829;
sourcedatagen1:.74579699942471311351;calc2:.66247312804674962909;watermarkassigner3:.52179277560783601295;minibatchassigner4:.48033994913252793169;calc5:.47736321797317346413;nexmarkq26writer:.00724407303115632664;
sourcedatagen1:.74148148981152444784;calc2:.66314493275156313256;watermarkassigner3:.52269353605325896270;minibatchassigner4:.47941688033226875384;calc5:.47760072271452776153;nexmarkq26writer:.00652804642166344294;
sourcedatagen1:.74461134688407415680;calc2:.66589047725411361774;watermarkassigner3:.52317027771573226118;minibatchassigner4:.47869667187849006030;calc5:.47622663986300349936;nexmarkq26writer:.00631375176829722284;
sourcedatagen1:.74370094541562611487;calc2:.67198277143536686883;watermarkassigner3:.52899980675466761802;minibatchassigner4:.48373022951599476751;calc5:.48223072006183850636;nexmarkq26writer:.00620986443096682126;
sourcedatagen1:.74987724858277909208;calc2:.67049613890996741507;watermarkassigner3:.52649942716005296909;minibatchassigner4:.48674284694014194527;calc5:.47924943087979288488;nexmarkq26writer:.01191804669017542293;
sourcedatagen1:.75220306513409961685;calc2:.66201262114041018706;watermarkassigner3:.51750807602734580422;minibatchassigner4:.47354631507775524002;calc5:.46835324167981368792;nexmarkq26writer:.00670310269701750431;
sourcedatagen1:.75895152198421645997;calc2:.65917888012025554302;watermarkassigner3:.51164223975948891394;minibatchassigner4:.46945321307779030439;calc5:.46615370161593385945;nexmarkq26writer:.00621570838030815482;
