sourcedatagen1:.77274272810090201059;calc2:.62042098104879582226;watermarkassigner3:.43749759421070864929;minibatchassigner4:.40548616189999615073;calc5:.60102390392239886061;nexmarkq16writer:.29179818314792717194;
sourcedatagen1:.76154523293607800650;calc2:.62270417376051178868;watermarkassigner3:.44258660939998968167;minibatchassigner4:.40856839756487643811;calc5:.60327187483877624722;nexmarkq16writer:.29245343858019914357;
sourcedatagen1:.77231658058535293338;calc2:.62621176003178386968;watermarkassigner3:.44192325519798702158;minibatchassigner4:.40599920540325784664;calc5:.61046881207787048073;nexmarkq16writer:.29093332009005429744;
sourcedatagen1:.76199039579370112027;calc2:.62755958042697104206;watermarkassigner3:.44369418463326992179;minibatchassigner4:.40948002536461636017;calc5:.60538700856055802155;nexmarkq16writer:.29607409902768970619;
sourcedatagen1:.77161539547478792078;calc2:.62699084947188747288;watermarkassigner3:.44385034458861125014;minibatchassigner4:.40842092429317624712;calc5:.60517011255277916811;nexmarkq16writer:.29001430973190107675;
sourcedatagen1:.76184994582881906825;calc2:.62324588556982923180;watermarkassigner3:.44098404529742557911;minibatchassigner4:.40399286746117732033;calc5:.60070680493215704483;nexmarkq16writer:.28898067894546767786;
sourcedatagen1:.77528969570697327468;calc2:.61985074722843840831;watermarkassigner3:.43756109010468914782;minibatchassigner4:.40492932839468065951;calc5:.60088870025979370836;nexmarkq16writer:.29311836047020088998;
sourcedatagen1:.76508789062500000000;calc2:.62109375000000000000;watermarkassigner3:.44234049479166666666;minibatchassigner4:.40856933593750000000;calc5:.59975748697916666666;nexmarkq16writer:.29389648437500000000;
sourcedatagen1:.76107586850141183385;calc2:.62338214062120689434;watermarkassigner3:.44624011396885021784;minibatchassigner4:.41327443239168487357;calc5:.60193472344666334470;nexmarkq16writer:.29752641598630329513;
sourcedatagen1:.75878377503173492914;calc2:.62360592989818916608;watermarkassigner3:.44149115307893577886;minibatchassigner4:.40591564985363073495;calc5:.60269325924198854951;nexmarkq16writer:.28967513794979404678;
