sourcedatagen1:.77438431929444299114;calc2:.68708892335289061624;watermarkassigner3:.54652640233192570723;minibatchassigner4:.56655704622743749766;calc5:.45812390223849919653;calc7:.46291901790051945139;join9:.20653798721925333532;calc10:.00757455435554392914;nexmarkq311writer:.00342408161739975335;
sourcedatagen1:.76986829727187206020;calc2:.68176622765757290686;watermarkassigner3:.53400282220131702728;minibatchassigner4:.55107243650047036688;calc5:.44774223894637817497;calc7:.45230479774223894637;join9:.19709313264346190028;calc10:.00735888993414863593;nexmarkq311writer:.00373471307619943555;
sourcedatagen1:.76657591437217469271;calc2:.68135203795718608734;watermarkassigner3:.53392470205850487540;minibatchassigner4:.55338896775880748683;calc5:.44881290394889229274;calc7:.45389145216124332200;join9:.19560232749280830873;calc10:.00781746179997758433;nexmarkq311writer:.00337635894945268427;
sourcedatagen1:.77741174935699109106;calc2:.68731362060610578894;watermarkassigner3:.53578018414284116748;minibatchassigner4:.55258461624482797181;calc5:.45402952249599284303;calc7:.45559743914712789354;join9:.19225500428672605956;calc10:.00646969471055280128;nexmarkq311writer:.00355751668095575353;
sourcedatagen1:.78640981030418677741;calc2:.68522467916339282373;watermarkassigner3:.53256772177947394021;minibatchassigner4:.55216634863621057357;calc5:.44967635724174056197;calc7:.45139512478018483181;join9:.18682886219927414225;calc10:.00637463987727765929;nexmarkq311writer:.00316159688704306506;
sourcedatagen1:.78361749444032616753;calc2:.68377733506300963676;watermarkassigner3:.53642281319495922905;minibatchassigner4:.55362768717568569310;calc5:.45776269458858413639;calc7:.46491150852483320978;join9:.19891586360266864343;calc10:.00746154558932542624;nexmarkq311writer:.00271497405485544848;
sourcedatagen1:.79654079685952232454;calc2:.68941005980115199765;watermarkassigner3:.53272783138276406060;minibatchassigner4:.55217925670469971016;calc5:.45016647099827567230;calc7:.45487856330483912389;join9:.18215045676340022746;calc10:.00675285247826246468;nexmarkq311writer:.00329731812011593352;
sourcedatagen1:.77276712430980450679;calc2:.68498171914639606028;watermarkassigner3:.53315503283092075809;minibatchassigner4:.55299115803611401283;calc5:.45224126995970750634;calc7:.45693273392031040143;join9:.19151759065811072974;calc10:.00769707879420981942;nexmarkq311writer:.00349528055514102372;
sourcedatagen1:.76702811887901160162;calc2:.69045690824167545577;watermarkassigner3:.54957058912159108030;minibatchassigner4:.57062443498568630405;calc5:.46421105167997589272;calc7:.46754228190447491336;join9:.19581041886394455326;calc10:.00805145397016724423;nexmarkq311writer:.00395274596956456230;
sourcedatagen1:.79299407041838538597;calc2:.69140164628756629345;watermarkassigner3:.54184774602239245727;minibatchassigner4:.56295116381850324101;calc5:.45697140173836181496;calc7:.46290558706540954625;join9:.19437794637595757218;calc10:.00844320860341779611;nexmarkq311writer:.00384409988214496169;
